ID,Levels,ParentID,CompanyID,Code,Name,Remark,IsMachineType,IsSpecs,speed,combCount,MachineWidth,factWidth,ALLPinCount,factPinCount,Power,HasSysDefine,HasDefault,HasUse,HasStop,Stoper,StopDate,StopMemo,HasCheck,Checker,CheckTime,Writer,WriteTime,Modifier,ModifyTime,RuleChildID,MachineKG,DayUrnCount,Coefficient,JBMachineType,ProgramID,DyeRate
1008006,0,1008,4,PJ,配件,NULL,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,110174,2007-09-27 17:41:12.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1009,97,1,4,010,经编机,NULL,1,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,140100,2012-09-27 14:34:59.000,110174,2007-07-06 13:54:07.000,140100,2012-09-27 14:34:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1009002,1,1009,4,JL65/1F,JL65/1F,65梳带贾卡提花电脑机,NULL,1,500.0000,71,134.0000,134.0000,3216,3216,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,213427,2016-04-24 08:22:07.000,ADMIN,2007-08-14 08:58:44.857,213427,2016-04-24 08:22:07.000,NULL,NULL,NULL,NULL,332543,340739,NULL
1009003,1,1009,4,MRES33,MRES33,33梳普通链块花边机,NULL,1,375.0000,33,132.0000,132.0000,3168,3168,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,219625,2015-09-07 13:15:51.000,ADMIN,2007-08-14 08:58:44.857,219625,2015-09-07 13:15:51.000,NULL,NULL,NULL,NULL,332542,340739,NULL
1009004,1,1009,4,MRES41,MRES41,41梳普通链块花边机,NULL,1,375.0000,41,132.0000,132.0000,3168,3168,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,219625,2015-09-07 13:15:40.000,ADMIN,2007-08-14 08:58:44.857,219625,2015-09-07 13:15:40.000,NULL,NULL,NULL,NULL,332542,340739,NULL
1009005,1,1009,4,MRESF31/16,MRESF31/16,35带18把压纱梳普通链块花边机,NULL,1,270.0000,35,132.0000,132.0000,3168,3168,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,213427,2016-03-30 16:52:10.000,ADMIN,2007-08-14 08:58:44.857,213427,2016-03-30 16:52:10.000,NULL,NULL,NULL,NULL,332542,340740,NULL
1009006,1,1009,4,MRESF39/20,MRESF39/20,39带20把压纱梳普通链块花边机,NULL,1,270.0000,39,132.0000,132.0000,3168,3168,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,219625,2015-09-07 13:15:13.000,ADMIN,2007-08-14 08:58:44.857,219625,2015-09-07 13:15:13.000,NULL,NULL,NULL,NULL,332542,340740,NULL
1009007,1,1009,4,MRPJ43/1,MRPJ43/1,43梳带贾卡提花电脑花边机,NULL,1,380.0000,45,132.0000,132.0000,3168,3168,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,219625,2015-09-07 13:15:01.000,ADMIN,2007-08-14 08:58:44.857,219625,2015-09-07 13:15:01.000,NULL,NULL,NULL,NULL,332543,340741,NULL
1009008,1,1009,4,MRPJF59/1/24,MRPJF59/1/24,59带24把压纱梳及贾卡提花和衬纬电脑花边机,NULL,1,280.0000,59,132.0000,132.0000,3168,3168,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,219625,2015-09-07 13:14:45.000,ADMIN,2007-08-14 08:58:44.857,219625,2015-09-07 13:14:45.000,NULL,NULL,NULL,NULL,332543,340741,NULL
1009009,1,1009,4,TL31/1/24,TL31/1/24,NULL,NULL,1,500.0000,42,134.0000,134.0000,3216,3216,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,219625,2015-09-07 13:14:21.000,ADMIN,2007-08-14 08:58:44.857,219625,2015-09-07 13:14:21.000,NULL,NULL,NULL,NULL,332543,340739,NULL
1009010,1,1009,4,JL42/1/B,JL42/1,42梳带贾卡提花电脑机,0,1,630.0000,47,134.0000,134.0000,3216,3216,25.0000,NULL,NULL,NULL,0,NULL,NULL,NULL,1,108468,2016-04-14 11:17:34.000,NULL,NULL,108468,2016-04-14 11:17:34.000,NULL,NULL,NULL,NULL,332543,340739,NULL
1009011,0,1009,4,JL65/1/B,JL65/1B,65梳带贾卡提花电脑机,0,1,500.0000,71,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2016-04-15 15:35:57.000,11159,2007-11-06 14:49:06.000,108468,2016-04-15 15:35:57.000,NULL,NULL,NULL,NULL,332543,340739,NULL
1009012,0,1009,4,MRESF43/24,MRESF43/24,43带24把压纱梳普通链块花边机,0,1,270.0000,43,132.0000,132.0000,3168,3168,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2010-07-16 13:56:51.000,11122,2008-03-18 11:55:14.000,108468,2010-07-16 13:56:51.000,NULL,NULL,NULL,NULL,332542,340741,NULL
1009013,0,1009,4,MRES41-18E,MRES41-18E,41梳普通链块花边机,0,1,375.0000,41,132.0000,132.0000,2376,2376,5.5000,0,0,0,0,NULL,NULL,NULL,1,108468,2010-07-16 13:57:24.000,11122,2009-02-05 09:41:00.000,108468,2010-07-16 13:57:24.000,NULL,NULL,NULL,NULL,332542,340739,NULL
